2618,104655,1,"CS","130","99","CSHC"
2624,104655,3,"CS","134","95","CSHC"
2631,104655,11,"CS","241","93","CSHC"
2632,104655,11,"CS","251","94","CSHC"
2639,104655,17,"CS","240","97","CSHC"
2640,104655,17,"CS","246","88","CSHC"
2641,104655,17,"CS","370","96","CSHC"
2645,104655,23,"CS","341","94","CSHC"
2646,104655,23,"CS","350","88","CSHC"
2647,104655,23,"CS","365","95","CSHC"
2655,104655,31,"CS","466","90","CSHC"
2656,104655,31,"CS","787","94","CSHC"
2665,104655,37,"CS","486","86","CSHC"
2668,104655,41,"CS","462","87","COHC"
2670,104655,43,"CS","343","81","COHC"
2671,104655,43,"CS","763","90","COHC"
2674,104662,1,"CS","133","78","CSBHC"
2680,104662,7,"CS","134","50","CSBBUSHC"
2692,104662,21,"CS","241","30","CSBBUSHC"
2694,104662,21,"CS","251","54","CSBBUSHC"
2702,104696,1,"CS","241","70","CSHC"
2703,104696,1,"CS","251","69","CSHC"
2707,104696,7,"CS","240","70","CSHC"
2708,104696,7,"CS","246","88","CSHC"
2715,104696,13,"CS","342","84","CSHC"
2716,104696,13,"CS","360","65","CSHC"
2717,104696,13,"CS","370","78","CSHC"
2721,104696,21,"CS","341","60","CSHC"
2722,104696,21,"CS","354","76","CSHC"
2727,104696,27,"CS","448","73","CSHC"
2732,104696,33,"CS","454","76","CSHC"
2733,104696,33,"CS","456","77","CSHC"
2734,104696,33,"CS","480","78","CSHC"
2744,104751,1,"CS","100","88","\N"
2815,104840,1,"CS","200","83","\N"
2828,104871,1,"CS","115","100","\N"
2854,104873,1,"CS","137","68","SE"
2857,104873,3,"CS","138","36","SE"
2860,104873,11,"CS","241","61","SE"
2896,104948,1,"CS","125","50","MATHHC"
2902,104948,3,"CS","134","59","MATHHC"
2955,104990,1,"CS","135","70","CSBHC"
2961,104990,3,"CS","136","69","CSBHC"
2968,104990,11,"CS","241","64","CSBHC"
2969,104990,11,"CS","251","65","CSBHC"
2991,105013,1,"CS","100","76","\N"
2999,105048,1,"CS","115","64","\N"
3001,105048,11,"CS","116","36","\N"
3046,105230,1,"CS","145","95","CSBH"
3071,105233,1,"CS","130","73","CSHC"
3077,105233,7,"CS","134","73","CSHC"
3083,105233,13,"CS","241","66","CSHC"
3084,105233,13,"CS","251","67","CSHC"
3089,105233,21,"CS","240","70","CSHC"
3090,105233,21,"CS","246","72","CSHC"
3094,105233,27,"CS","350","72","CSHC"
3095,105233,27,"CS","360","67","CSHC"
3101,105233,33,"CS","341","81","CSHC"
3102,105233,33,"CS","343","64","CSHC"
3103,105233,33,"CS","370","81","CSHC"
3108,105233,41,"CS","466","92","CSHC"
3109,105233,41,"CS","472","86","CSHC"
3113,105233,47,"CS","454","71","CSHC"
3114,105233,47,"CS","486","93","CSHC"
3120,105254,1,"CS","100","72","\N"
3125,105260,1,"CS","100","78","\N"
3145,105366,1,"CS","125","59","MATHH"
3164,105378,1,"CS","241","86","\N"
3166,105378,7,"CS","341","85","\N"
3170,105383,1,"CS","135","100","MATHH"
3175,105383,3,"CS","136","91","MATHH"
3211,105412,1,"CS","125","22","BUSMATH"
3218,105419,1,"CS","135","47","CFMHC"
3221,105419,3,"CS","135","65","CFMHC"
3224,105419,7,"CS","136","47","CFMHC"
3225,105419,11,"CS","136","65","CFMHC"
3268,105541,1,"CS","100","61","\N"
3281,105557,1,"CS","100","87","\N"
3284,105557,11,"CS","200","61","\N"
